No Urut;Nama Barang;Merk/Type;Kategori;Tahun Perolehan;Sumber Dana;Jumlah Unit; Harga Satuan Rp ; Nilai              Rp ;UE Thn;Tarif %; Akumulasi ; Nilai Buku Rp ; PJ ;;;
55;Rantai;;Peralatan Lainnya;2003;YPM;24;;;4;;#REF!;#REF!; Pusat ;;;
56;Tiang Antrian Sepatu;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
57;Cempat;;Peralatan Lainnya;2003;YPM;3;;;4;;#REF!;#REF!; Pusat ;;;
58;Cat 1 Kg;Avian;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
59;Tinner;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
60;Ampelas;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
61;Bustermuk;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
62;Rantai;;Peralatan Lainnya;2003;YPM;10;;;4;;#REF!;#REF!; Pusat ;;;
63;Gembok;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
64;Paku 12;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
65;Bioplain;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
66;Cakra;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
67;Tanah Lembang;;Peralatan Lainnya;2003;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
68;Bunga;;Peralatan Lainnya;2003;YPM;60;;;4;;#REF!;#REF!; Pusat ;;;
69;Kran L;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
70;Slot;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
71;Rantai;;Peralatan Lainnya;2003;YPM;29;;;4;;#REF!;#REF!; Pusat ;;;
72;Cat 1 Kg;Avian;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
73;Kran Cuci Piring;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
74;Selotip;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
75;Rantai;;Peralatan Lainnya;2003;YPM;15;;;4;;#REF!;#REF!; Pusat ;;;
76;Gembok;;Peralatan Lainnya;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
77;SDR 256;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
78;Mouse;Logitec;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
79;Printer;Canon 2100SP;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
80;AVR 2 Lubang;;Elektronik Multimedia;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
81;Monitor;"GTC Millenia 15""";Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
82;Komputer;;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
83;CD;Lit-Pro;Komputer;2003;YPM;10;;;4;;#REF!;#REF!; Pusat ;;;
84;Tempat CD;Cone 25;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
85;Tempat CD;D140 Mediatec;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
86;Mousepad;Dongsi;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
87;Monitor;"GTC Millenia 15""";Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
88;Hard Disk;30 GB Maxtor;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
89;Meja Komputer;;Furniture;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
90;Meja 1/2 B;;Furniture;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
91;Meja 1/4 L;;Furniture;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
92;Laci Gantung;;Furniture;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
93;Kursi Komputer;;Furniture;2003;YPM;3;;;4;;#REF!;#REF!; Pusat ;;;
94;Gorden;;Furniture;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
95;Komputer;;Komputer;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
96;Hairdryer;Phillips;Elektronik Multimedia;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
97;Horn Speaker;ZH625S;Elektronik Multimedia;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
98;Matching TOA;ZT351;Elektronik Multimedia;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
99;Finishing Litening Panggung;;Elektronik Multimedia;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
100;Finishing Litening Panggung;;Elektronik Multimedia;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
101;Gorden;;Furniture;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
102;Patok Besi;;Peralatan Lainnya;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
103;Tiang Spanduk;;Peralatan Lainnya;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
104;Kursi Lipat;Pandaico;Furniture;2004;YPM;3;;;4;;#REF!;#REF!; Pusat ;;;
105;Karpet;;Peralatan Lainnya;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
106;Tenda;Gazebo easy up 3 X 6 m X H 2,5 m;Peralatan Lainnya;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
107;Tripod;Sony D 580 RM;Peralatan Lainnya;2004;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
108;Kursi Lipat;Chitose AAW/Hitam;Furniture;2004;YPM;50;;;4;;#REF!;#REF!; Pusat ;;;
109;Kursi Kuliah;Chitose MMDW/Hitam;Furniture;2004;YPM;50;;;4;;#REF!;#REF!; Pusat ;;;
110;Telepon SMS;Panafone;Elektronik Multimedia;2005;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
111;Monitor;"Phillips 15""";Komputer;2005;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
112;Komputer;;Komputer;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
113;Rak Buku;;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
114;Meja Tamu;;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
115;Kursi;D950 Indachi;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
116;Sofa ;Florida;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
117;Meja Tamu Kaca;;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
118;Karpet 4 X 6;;Peralatan Lainnya;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
