No Urut;Jalan;Nomor;RT;RW;Desa/Kelurahan;Kecamatan;Kota/Kabupaten;Propinsi;Tanggal Perolehan;No Persil;No Sertifikat;NIB; Luas (M2) ; Harga Satuan Rp ; Nilai Perolehan Rp ;Keterangan
1;;;;;Cigadung;Cibeunying Kaler;Bandung;Jawa Barat;2001-04-03;14;10.15.1804.-.00014;;225; - ; - ;Wakaf dari Ny. Meiyanne
2;;;;;Pasir Jati;Ujungberung;Bandung;Jawa Barat;2006-06-02;2443;10.15.22.04.1.02443;10.15.22.04.01819;1.348; - ;175555200;
